"AAll" "entry1" "sub1" "altsearch" "altsub1" "id"
"513" "linear model (lm)! variable selection" "variable selection" NA NA NA 11
"515" "linear model (lm)! variable selection! realistic SEs" "regression" "variable selection" NA NA 11
"516" "linear model (lm)! variable selection! simulation" "regression" "variable selection" NA NA 11
"517" "linear model (lm)! variance inflation factor (VIF)" "vif" NA NA NA 11
"518" "linear model (lm)! vs qualitative comparison" "linear model" "vs" NA NA 11
"519" "linear model (lm)! x on y vs y on x" "two regression lines" NA NA NA 11
"523" "linear model (lm)!errors in $x$" "errors in variables" NA NA NA 11
"273" "list" "list" "recursive" NA NA 11
"274" "list! data frame as list" "list" "dual identity" NA NA 11
"275" "list, concatenate (join)" "join lists" NA NA NA 11
"276" "Markov chain" "markov chain" NA NA NA 11
"277" "matrix" "matrices" NA NA NA 11
"278" "matrix! arithmetic" "matrix" "arithmetic" NA NA 11
"279" "matrix! conversion to/from data frame" "matrix" "conversion" NA NA 11
"280" "matrix! conversion to/from vector" "matrix" "vector" NA NA 11
"281" "matrix! extraction of submatrix" "submatrices" NA NA NA 11
"282" "matrix! formed as outer product" "outer()" NA NA NA 11
"283" "matrix! joining (cbind, rbind)" "matrix" "cbind" NA NA 11
"284" "matrix! names of rows \& columns" "matrix" "dimnames()" NA NA 11
"285" "matrix! number of rows \& columns" "matrix" "dimension" NA NA 11
"286" "matrix! storage in memory" "matrix" "subscripts" NA NA 11
"287" "matrix! subscripts" "matrix" "storage" NA NA 11
"288" "matrix! transpose" "matrix" "transpose" NA NA 11
"289" "mean! trimmed" "mean" "trimmed" NA NA 11
"290" "methods \& classes!{\itshape see} classes \& methods" "zzzzzzz" NA NA NA 11
"291" "missing values" "missing values" NA NA NA 11
"292" "missing values! count \& identify" "missing values" "count" NA NA 11
"293" "missing values! remove" "missing values" "remove" NA NA 11
"294" "model! allometric growth" "model" "allometric" NA NA 11
"295" "model! classification| see {discriminant analysis}" "zzzz" NA NA NA 11
"296" "model! discriminant| see {discriminant analysis}" "zzzz" NA NA NA 11
"297" "model! generalized linear model| see {regression, generalized linear model}" "zzzz" NA NA NA 11
"298" "model! linear model| see {regression, linear model}" "zzzz" NA NA NA 11
"299" "model! model formula" "model formulae" NA "model formula" NA 11
"300" "model! model object" "model object" NA NA NA 11
"301" "model! model object! extractor function" "model" "extractor" NA NA 11
"302" "model! multinomial (multinom())" "nnet" "multinom()" NA NA 11
"303" "model! parameters" "model" "parameters" NA NA 11
"304" "model! signal \& noise" "signal" "noise" NA NA 11
"305" "model! statistical vs deterministic" "statistical" "deterministic" NA NA 11
"306" "model! survival analysis| see {survival analysis}" "zzzz" NA NA NA 11
"307" "model! time series| see {time series}" "zzzz" NA NA NA 11
"308" "multi-dimensional scaling (MDS)| see {ordination}" "zzzz" NA NA NA 11
"309" "multilevel model" "Multilevel" NA "multilevel" NA 11
"310" "multilevel model! fit by restricted maximum likelihood (REML)" "restricted" "REML" NA NA 10
"311" "multilevel model! random coefficients" "random coefficients" NA NA NA 10
"312" "multilevel model! repeated measures" "repeated measures" NA NA NA 10
"313" "multilevel model! variance components" "multilevel" "variance component" NA NA 11
"314" "multivariate analysis" "multivariate" "analysis" NA NA 11
"315" "nonlinear model (nls)" "nls" NA NA NA 11
"316" "nonsense" "nonsense" NA NA NA 11
"317" "object! saving" "object" "save" NA NA 11
"318" "operator" "operator" NA NA NA 11
"319" "operator! arithmetic" "operator" "functions" "arithmetic operators" NA 11
"320" "operator! assignment" "operator" "assignment" NA NA 11
"321" "operator! logical" "logical operators" NA NA NA 11
"321a" "operator! relational" "relational operators" NA NA NA 11
"322" "ordination! distance measure| see {distance measure}" "zzzz" NA NA NA 11
"323" "ordination! multi-dimensional scaling (MDS)" "multi-dimensional scaling" NA "MDS" NA 11
"324" "ordination! principal components analysis (PCA)" "principal components" NA "PCA" NA 11
"325" "ordination! principal components analysis (PCA)! loadings" "principal components" "loadings" "PCA" "loadings" 11
"326" "ordination! principal components analysis (PCA)! PCA scores in regression" "principal components" "scores" "PCA" "scores" 11
"327" "package! base" "package" "base" "base::" NA 11
"328" "package! boot" "package" "boot" "boot::" NA 11
"329" "package! car" "package" "car" "car::" NA 11
"330" "package! cluster" "package" "cluster" "cluster::" NA 11
"331" "package! DAAG" "package" "DAAG" "DAAG::" NA 11
"332" "package! datasets" "package" "datasets" NA NA 11
"333" "package! Devore6, Devore7" "package" "devore6" NA NA 11
"334" "package! dichromat" "package" "dichromat" "dichromat::" NA 11
"335" "package! dr" "package" "dr" NA NA 11
"336" "package! foreign" "package" "foreign" "foreign::" NA 11
"337" "package! fseries" "package" "fseries" NA NA 11
"338" "package! gam" "package" "gam" NA NA 11
"339" "package! ggplot2" "package" "ggplot2" "ggplot2::" NA 11
"340" "package! golubEsets" "package" "golubEsets" NA NA 11
"341" "package! grid" "package" "grid" "grid::" NA 11
"342" "package! hddplot" "package" "hddplot" NA NA 11
"343" "package! KernSmooth" "package" "KernSmooth" "KernSmooth::" NA 11
"344" "package! lars" "package" "lars" NA NA 11
"345" "package! lazy data mechanism" "package" "lazy data" NA NA 11
"346" "package! leaps" "package" "leaps" "leaps::" NA 11
"347" "package! lme4" "package" "lme4" "lme4::" NA 11
"349" "package! lqs" "package" "lqs" "lqs::" NA 11
"350" "package! MASS" "package" "MASS" "MASS::" NA 11
"351" "package! MEMSS" "package" "MEMSS" "MEMSS::" NA 11
"352" "package! mgcv" "package" "mgcv" "mgcv::" NA 11
"353" "package! MonoPoly" "package" "MonoPoly" "MonoPoly::" NA 11
"354" "package! muhaz" "package" "muhaz" "muhaz::" NA 11
"355" "package! multtest" "package" "multtest" "multtest::" NA 11
"356" "package! nlme" "package" "nlme" "nlme::" NA 11
"357" "package! randomForest" "package" "randomForest" "randomForest::" NA 11
"358" "package! R Commander (Rcmdr)" "Rcmdr" NA NA NA 11
"359" "package! RColorBrewer" "package" "RColorBrewer" "RColorBrewer::" NA 11
"360" "package! RSQLite, RMySQL, ROracle, DBI" "RMySQL" NA NA NA 11
"361" "package! rpart" "package" "rpart" "rpart::" NA 11
"362" "package! stats" "package" "stats" NA NA 11
"363" "package! strucchange" "package" "strucchange" NA NA 11
"364" "package! survival" "package" "survival" "survival::" NA 11
"365" "package! tseries" "package" "tseries" "tseries::" NA 11
"366" "package! xtable" "package" "xtable" "xtable::" NA 11
"368" "plot| see {graphics}" "zzzz" NA NA NA 11
"394" "posterior density or probability| see {Bayesian methods}" "zzzz" NA NA NA 11
"395" "predictive accuracy| see {regression, generalized linear model, linear model (lm), model, survival analysis}" "zzzz" NA NA NA 11
"396" "principal components analysis (PCA)| see {ordination}" "zzzz" NA NA NA 11
"397" "printing" "printing" NA NA NA 11
"398" "printing! digits" "print" "digits" "signif(" NA 11
"399" "prior density or probability| see {Bayesian methods}" "zzzz" NA NA NA 11
"400" "propensity score" "propensity" NA NA NA 11
"401" "questionnaires \& surveys" "questionnaires" NA NA NA 11
"402" "quitting a session" "quitting" NA NA NA 11
"403" "R session! image file" "image file" NA NA NA 11
"404" "R session! quitting" "session" "quitting" NA NA 11
"405" "R session! search list" "session" "search list" NA NA 11
"406" "R session! search list! database" "search list" NA NA NA 11
"407" "R session! working directory" "working directory" NA NA NA 11
"408" "R session! working directory! changing" "working directory" "changing" NA NA 11
"409" "R session! workspace" "workspace" NA NA NA 11
"410" "R session! workspace! image" "workspace" "image" NA NA 11
"411" "R session! workspace! management" "workspace" "management" NA NA 11
"412" "random! coefficients" "random coefficients" NA NA NA 11
"413" "random! numbers" "random numbers" NA NA NA 11
"414" "random! numbers! seed" "random numbers" "seed" NA NA 11
"415" "random! sample" "random sample" NA NA NA 11
"416" "random! sample! of permutations" "random" "permutation" NA NA 11
"417" "regression| seealso{discriminant analysis, generalized additive model, tree-based methods, survival analysis, time series}" "zzzz" NA NA NA 11
"418" "regression! AIC (Akaike), BIC (Bayesian), Cp (Mallows)| see {information criteria}" "zzzz" "akaike information criterion" NA NA 11
"419" "regression! bootstrap| see {resampling methods}" "zzzz" NA NA NA 11
"466" "regression! coefficients! confidence interval| see {confidence interval}" "zzzz" NA NA NA 11
"467" "regression! coefficients! correlation between" "correlation" "coefficients" NA NA 11
"468" "regression! coefficients! interpretation" "interpretation" "coefficients" NA NA 11
"469" "regression! coefficients! multiple testing issue" "multiple testing" "coefficients" NA NA 11
"470" "regression! coefficients! standard error" "standard error" "coefficients" NA NA 11
"420" "regression! comparison of models" "model" "comparison" NA NA 11
"421" "regression! cross-validation| see {resampling methods}" "zzzz" NA NA NA 11
"422" "regression! extrapolation" "extrapolation" NA NA NA 11
"423" "regression! functional relationship" "functional relationship" NA NA NA 11
"423a" "regression! generalized additive model| see {generalized additive model}" "zzzz" NA NA NA 11
"439" "regression! generalized linear model| see {generalized linear model}" "zzzz" NA NA NA 11
"426" "regression! linear model| see {linear model}" "zzzz" NA NA NA 11
"427" "regression! loglinear" "loglinear" NA NA NA 11
"428" "regression! non-linear model" "regression" "non-linear" NA NA 11
"429" "regression! observational data" "regression" "observational" NA NA 11
"429a" "regression! outlier" "regression" "outlier" NA NA 11
"430" "regression! polynomial" "regression" "polynomial" NA NA 11
"431" "regression! predictive accuracy! bootstrap" "bootstrap" "predictive accuracy" NA NA 11
"432" "regression! predictive accuracy! cross-validation" "linear model" "cross-validation" NA NA 11
"433" "regression! predictive accuracy! validity of bootstrap estimate" "predictive" "bootstrap" NA NA 11
"435" "regression! residuals! normal probability plots" "linear model" "residuals" NA NA 11
"435a" "regression! robust" "robust regression" NA NA NA 11
"436" "regression! spline smoother" "regression spline" NA NA NA 11
"437" "regression! spline smoother| seealso{Generalized Additive Model}" "zzzz" NA NA NA 11
"509" "regression! strategies for fitting models" "regression" "strategy for fitting" NA NA 11
"525" "regression, linear model (lm)!missing $x$s" "regression" "missing values" NA NA 11
"525a" "regression, quantile" "quantile" "regression" NA NA 11
"526" "regression, resistant" "regression" "resistant" NA NA 11
"528" "replication" "replication" NA NA NA 11
"529" "resampling methods! bootstrap" "bootstrap" NA NA NA 11
"530" "resampling methods! cross-validation" "cross-validation" NA NA NA 11
"532" "resampling methods! permutation" "permutation" "distribution" NA NA 11
"533" "resampling methods! simulation| see {simulation}" "zzzzzzz" NA NA NA 11
"534" "rounding" "rounding" NA NA NA 11
"535" "sampling! cluster sampling" "sampling" "cluster" NA NA 11
"536" "sampling! with/without replacement" "sampling" "replacement" NA NA 11
"537" "search list| see {R session}" "zzzz" NA NA NA 11
"538" "selection bias" "selection bias" NA NA NA 11
"540" "simulation" "simulation" NA NA NA 11
"541" "smoother" "smoother" NA "smooth term" NA 11
"542" "smoother! lowess" "smoother" "lowess" NA NA 11
"543" "smoother!Generalized Additive Model" "smoother" "gam" "smooth term" NA 11
"544" "spline" "spline" NA NA NA 11
"545" "spline! knots" "spline" "knots" NA NA 11
"546" "standard deviation" "standard deviation" NA NA NA 11
"547" "standard deviation! {\itshape vs} inter-quartile range" "standard deviation" "inter-quartile" NA NA 11
"548" "standard deviation! degrees of freedom" "standard deviation" "degrees" NA NA 11
"549" "standard deviation! maximum likelihood estimate" "standard deviation" "likelihood" NA NA 11
"550" "standard deviation! pooled" "standard deviation" "pooled" NA NA 11
"551" "standard error (SE)" "standard error" NA "SE" NA 11
"552" "standard error (SE)! binomial disrtribution! proportions" "standard error" "binomial" "SE" "binomial" 11
"553" "standard error (SE)! difference of means (SED)" "standard deviation" "difference" "SED" NA 11
"554" "standard error (SE)! of mean (SEM)" "standard error" "mean" "SEM" NA 11
"555" "standard error (SE)! of median" "standard error" "median" NA NA 11
"557" "standard error (SE)! of residual" "standard error" "residual" NA NA 11
"558" "survival analysis" "survival analysis" NA NA NA 11
"559" "survival analysis! censoring! non-informative" "informative" "censor" "" NA 11
"560" "survival analysis! censoring! right" "survival" "censor" "" NA 11
"561" "survival analysis! Cox proportional hazard" "survival" "Cox" NA NA 11
"562" "survival analysis! data collection" "survival" "collection" NA NA 11
"563" "survival analysis! frailty model" "survival" "frailty" NA NA 11
"564" "survival analysis! hazard rate" "survival" "hazard" NA NA 11
"566" "survival analysis! residuals! martingale" "residuals" "martingale" NA NA 11
"567" "survival analysis! residuals! Schoenfeld" "residuals" "Schoenfeld" NA NA 11
"568" "survival analysis! survival estimate" "survival" "estimate" NA NA 11
"569" "survival analysis! tree-based" "survival" "tree-based" NA NA 11
"570" "table! of frequencies" "table" "frequency" NA NA 11
"571" "table! of frequencies! adding across tables (Simpson's paradox)" "table" "Simpson" NA "Yule" 11
"572" "table! of frequencies! table formula" "table" "formula" NA NA 11
"573" "test! 2-way table! chi-square statistic" "chi-squared" "two-way" NA NA 11
"575" "test! 2-way table! Fisher exact" "exact" "Fisher" NA NA 11
"576" "test! 2-way table! residuals from row/column independence model" "chi-squared" "two-way" NA NA 11
"577" "test! 3-way table! Mantel-Haenzel" "Mantel" "Haenszel" NA NA 11
"578" "test! 3-way table! Woolf" "woolf()" NA NA NA 11
"579" "test! correlation" "test" "correlation" NA NA 11
"580" "test! F-statistic" "test" "F-statistic" NA NA 11
"581" "test! homogeneity of variance" "variance" "homogeneity" NA NA 11
"582" "test! homogeneity of variance! Fligner-Killeen" "Fligner" "Killeen" NA NA 11
"583" "test! likelihood ratio" "test" "likelihood ratio" NA NA 11
"584" "test! logrank" "test" "log-rank" NA NA 11
"585" "test! non-parametric" "test" "non-parametric" NA NA 11
"586" "test! permutation! one- and two-sample" "test" "permutation" NA NA 11
"587" "test! proportion(s)" "test" "proportion" NA NA 11
"588" "test! sequential correlation" "test" "sequential" NA NA 11
"589" "test! t-statistic! one-sample" "one-sample" "t-statistic" NA NA 11
"590" "test! t-statistic! two-sample" "two-sample" "t-statistic" NA NA 11
"591" "test! t-statistic! two-sample, unequal variances" "Welch" "t-statistic" NA NA 11
"592" "test! type III" "main effects" "interactions" NA NA 11
"593" "test! Wald" "test" "Wald" NA NA 11
"594" "test! white noise (Ljung-Box)" "test" "Ljung" NA NA 11
"595" "time series" "time series" NA NA NA 11
"596" "time series! ARCH or GARCH model" "ARCH" "GARCH" NA NA 11
"597" "time series! ARMA or ARIMA model" "ARMA" "ARIMA" NA NA 11
"598" "time series! ARMA or ARIMA model! automated selection" "auto.arima" NA NA NA 11
"599" "time series! autocorrelation" "time" "autocorrelation" NA NA 11
"600" "time series! autoregressive (AR) model" "autoregressive" NA "ar" NA 11
"601" "time series! Ljung-Box test (white noise)" "Ljung" NA NA NA 11
"602" "time series! moving average (MA) model" "moving average" NA NA NA 11
"603" "time series! partial autocorrelation function" "partial autocorrelation" NA NA NA 11
"604" "time series! residuals" "time series" "residuals," NA NA 11
"606" "transformation! count data! angular" "transformation" "angular" NA NA 11
"607" "transformation! count data! complementary log-log" "transformation" "cloglog" NA NA 11
"608" "transformation! count data! logit" "transformation" "logit" NA NA 11
"609" "transformation! count data! probit" "transformation" "probit" NA NA 11
"610" "transformation! count data! square root" "transformation" "square root" NA NA 11
"611" "transformation! cube root" "transformation" "cube root" NA NA 11
"612" "transformation! logarithmic" "transformation" "logarithmic" NA NA 11
"613" "transformation! logit" "transformation" "logit" NA NA 11
"614" "transformation! power! Box-Cox" "Box-Cox" NA NA NA 11
"614a" "transformation! power! Yeo-Johnson" "Yeo-Johnson" NA NA NA 11
"615" "transformation! use of" "transformation" "use" NA NA 11
"616" "tree-based methods! random forests (randomForest)" "random" "forest" NA NA 11
"617" "tree-based methods! rpart! classification" "tree" "classification" NA NA 11
"618" "tree-based methods! rpart! cost-complexity (CP)" "tree" "cost-complexity" NA NA 11
"619" "tree-based methods! rpart! error or impurity measures" "classification" "entropy" "gini" "deviance" 11
"620" "tree-based methods! rpart! information on each split" "rpart" "output" NA NA 11
"621" "tree-based methods! rpart! output" "rpart" "output" NA NA 11
"622" "tree-based methods! rpart! predictive accuracy" "tree" "predictive accuracy" NA NA 11
"623" "tree-based methods! rpart! pruning" "tree" "pruning" NA NA 11
"624" "tree-based methods! rpart! regression" "tree" "regression" NA NA 11
"625" "tree-based methods! rpart! splitting criterion" "criterion" "splitting" NA NA 11
"626" "tree-based methods! rpart! splitting criterion, 1 SE rule" "SE" "splitting" NA NA 11
"627" "tree-based methods! rpart! table of accuracies" "rpart" "printcp" NA NA 11
"628" "tree-based methods! rpart! tree diagram" "rpart" "plot" NA NA 11
"629" "variability! heterogeneity| see {model, homogeneity of variance}" "zzzz" NA NA NA 11
"630" "vector! atomic" "vector" "atomic" NA NA 11
"631" "vector! character" "vector" "character" NA NA 11
"632" "vector! character! number of characters" "vector" "nchar" NA NA 11
"633" "vector! character! splitting" "strsplit()" NA NA NA 11
"634" "vector! complex" "vector" "complex" NA NA 11
"635" "vector! concatenation" "vector" "concatenation" NA NA 11
"636" "vector! logical" "vector" "logical" NA NA 11
"637" "vector! numeric" "vector" "numeric" NA NA 11
"638" "vector! recursive (list)" "vector" "list" NA NA 11
"639" "vector! subset" "vector" "subset" NA NA 11
"640" "working directory| see {R session}" "zzzz" NA NA NA 11
"641" "workspace| see {R session}" "zzzz" NA NA NA 11
